,WOJEWÓDZTWO,TYP,NAZWA URZĘDU,KOD,MIASTO,ULICA,NR BUDYNKU / LOKALU,POCZTA,NR TELEFONU   wraz z nr kierunkowym,NR FAXU,ADRES E-MAIL URZĘDU,kod jednostki,ADRESY STRON BIP JEDNOSTEK KAS
1,dolnośląskie,US,Urząd Skarbowy w Bolesławcu,59-700,Bolesławiec,Garncarska ,10,Bolesławiec,(22) 460 59 93,(75) 646-52-01,us.boleslawiec@mf.gov.pl,202,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-boleslawcu
2,dolnośląskie,US,Urząd Skarbowy w Bystrzycy Kłodzkiej,57-500,Bystrzyca Kłodzka,Adama Mickiewicza ,5,Bystrzyca Kłodzka,(22) 460 59 93,(74) 811-11-27,us.bystrzyca_klodzka@mf.gov.pl,203,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-bystrzycy-klodzkiej
3,dolnośląskie,US,Urząd Skarbowy w  Dzierżoniowie,58-200,Dzierżoniów,Pocztowa ,14,Dzierżoniów,(22) 460 59 93,-,us.dzierzoniow@mf.gov.pl,204,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-dzierzoniowie
4,dolnośląskie,US,Urząd Skarbowy w Głogowie,67-200,Głogów,Adama Mickiewicza ,53,Głogów,(22) 460 59 93,(76) 727-24-01,us.glogow@mf.gov.pl,205,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-glogowie
5,dolnośląskie,US,Urząd Skarbowy w Jaworze,59-400,Jawor,Jurija Gagarina ,5,Jawor,(22) 460 59 93,(76) 870-62-24,us.jawor@mf.gov.pl,206,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jaworze
6,dolnośląskie,US,Urząd Skarbowy w Jeleniej Górze,58-506,Jelenia Góra,Adama Thebesiusa,1,Jelenia Góra,(22) 460 59 93,(75) 647-35-37,us.jelenia_gora@mf.gov.pl,207,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jeleniej-gorze
7,dolnośląskie,US,Urząd Skarbowy w Kamiennej Górze,58-400,Kamienna Góra,Papieża Jana Pawła II ,18,Kamienna Góra,(22) 460 59 93,(75) 744-93-92,us.kamienna_gora@mf.gov.pl,208,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-kamiennej-gorze
8,dolnośląskie,US,Urząd Skarbowy w Kłodzku,57-300,Kłodzko,Stanisławy Walasiewiczówny,1,Kłodzko,(22) 460 59 93,(74) 647-43-70,us.klodzko@mf.gov.pl,209,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-klodzku
9,dolnośląskie,US,Urząd Skarbowy w Legnicy,59-220,Legnica,Wrocławska ,37,Legnica,(22) 460 59 93,(76) 851-15-01,us.legnica@mf.gov.pl,210,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-legnicy
10,dolnośląskie,US,Urząd Skarbowy w Lubaniu,59-800,Lubań,Stara ,1,Lubań,(22) 460 59 93,(75) 722-91-01,us.luban@mf.gov.pl,211,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lubaniu
11,dolnośląskie,US,Urząd Skarbowy w Lubinie ,59-300,Lubin,Marii Skłodowskiej-Curie,94,Lubin,(22) 460 59 93,(76) 847-84-70,us.lubin@mf.gov.pl,212,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lubinie
12,dolnośląskie,US,Urząd Skarbowy w Lwówku Śląskim,59-600,Lwówek Śląski,Budowlanych ,1,Lwówek Śląski,(22) 460 59 93,(75) 782-02-99,us.lwowek_slaski@mf.gov.pl,213,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lwowku-slaskim
13,dolnośląskie,US,Urząd Skarbowy w Miliczu,56-300,Milicz,Składowa ,2,Milicz,(22) 460 59 93,(71) 380-51-10,us.milicz@mf.gov.pl,214,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-miliczu
14,dolnośląskie,US,Urząd Skarbowy w  Nowej Rudzie,57-400,Nowa Ruda,Kolejowa ,23,Nowa Ruda,(22) 460 59 93,(74) 872-25-06,us.nowa_ruda@mf.gov.pl,215,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-nowej-rudzie
15,dolnośląskie,US,Urząd Skarbowy w Oleśnicy,56-400,Oleśnica,Lwowska,34-38,Oleśnica,(22) 460 59 93,(71) 314-97-73,us.olesnica@mf.gov.pl,216,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-olesnicy
16,dolnośląskie,US,Urząd Skarbowy w Oławie ,55-200,Oława,Lwowska ,1,Oława,(22) 460 59 93,(71) 313-47-90,us.olawa@mf.gov.pl,217,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-olawie
17,dolnośląskie,US,Urząd Skarbowy w Strzelinie,57-100,Strzelin,Bolka I Świdnickiego ,14,Strzelin,(22) 460 59 93,(71) 392-72-88,us.strzelin@mf.gov.pl,218,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-strzelinie
